Campaign,Extension Type,Sitelink Text,Sitelink Final URL,Callout Text,Snippet Header,Snippet Values,Phone Number
"KX Search - 9-City IE",Sitelink,"Get Free Estimate","https://kustomxworks.com/book",,,,
"KX Search - 9-City IE",Sitelink,"Our 9 City Pages","https://kustomxworks.com/handyman/corona",,,,
"KX Search - 9-City IE",Sitelink,"Discounts","https://kustomxworks.com/book?service=Concrete%20Block%20Walls",,,,
"KX Search - 9-City IE",Callout,,,"Same-Week Service",,,
"KX Search - 9-City IE",Callout,,,"Transparent Flat-Rate Pricing",,,
"KX Search - 9-City IE",Callout,,,"Background-Checked Pros",,,
"KX Search - 9-City IE",Callout,,,"Satisfaction Guaranteed",,,
"KX Search - 9-City IE",Structured Snippet,,,,Services,"Block Walls, Landscaping, Construction, Drywall & Painting, Feature Walls, Carpentry, Flooring, Doors & Windows",
"KX Search - 9-City IE",Call Extension,,,,,,,951-325-4248
